esbelto,slender,,<img src='slender.jpeg'/>
ornamentado,adorned,,<img src='adorned.jpeg'/>
mantícora,manticore,,<img src='manticore.jpeg'/>
qarthienses,qarthiens,,<img src='qarthiens.jpeg'/>
abarrotar,to pack full,,<img src='to pack full.jpeg'/>
ataviar,to dress up,,<img src='to dress up.jpeg'/>
brocado,brocade,,<img src='brocade.jpeg'/>
túnica,tunic,,<img src='tunic.jpeg'/>
envolver,to envelop,,<img src='to envelop.jpeg'/>
palidez,paleness,,<img src='paleness.jpeg'/>
almendrado,almondshaped or macaroon,,<img src='almondshaped or macaroon.jpeg'/>
bazar,bazaar,,<img src='bazaar.jpeg'/>
enrejado,lattice or bars like a cage,,<img src='lattice or bars like a cage.jpeg'/>
encabritar,to rear horseback riding,,<img src='to rear horseback riding.jpeg'/>
mercader,merchant,,<img src='merchant.jpeg'/>
